r**2,t * 1e9
1.85443e-18,0.001
7.36594e-18,0.002
1.64658e-17,0.003
2.90685e-17,0.004
4.51288e-17,0.005
6.45513e-17,0.006
8.7319e-17,0.007
1.1336e-16,0.008
1.42607e-16,0.009
1.74981e-16,0.01
2.10365e-16,0.011
2.48774e-16,0.012
2.90265e-16,0.013
3.34757e-16,0.014
3.82212e-16,0.015
4.3252e-16,0.016
4.85783e-16,0.017
5.41891e-16,0.018
6.0083e-16,0.019
6.62371e-16,0.02
7.2632e-16,0.021
7.92709e-16,0.022
8.61508e-16,0.023
9.32661e-16,0.024
1.00618e-15,0.025
1.08195e-15,0.026
1.15994e-15,0.027
1.24025e-15,0.028
1.32277e-15,0.029
1.40759e-15,0.03
1.49455e-15,0.031
1.58331e-15,0.032
1.674e-15,0.033
1.76683e-15,0.034
1.86142e-15,0.035
1.95764e-15,0.036
2.05566e-15,0.037
2.1551e-15,0.038
2.25649e-15,0.039
2.35976e-15,0.04
2.46496e-15,0.041
2.5718e-15,0.042
2.6805e-15,0.043
2.79089e-15,0.044
2.90284e-15,0.045
3.01652e-15,0.046
3.13163e-15,0.047
3.24813e-15,0.048
3.36634e-15,0.049
3.48611e-15,0.05
3.60712e-15,0.051
3.7297e-15,0.052
3.85367e-15,0.053
3.97874e-15,0.054
4.10549e-15,0.055
4.23309e-15,0.056
4.36162e-15,0.057
4.4918e-15,0.058
4.62351e-15,0.059
4.75636e-15,0.06
4.89008e-15,0.061
5.02466e-15,0.062
5.16039e-15,0.063
5.29741e-15,0.064
5.43553e-15,0.065
5.57501e-15,0.066
5.71564e-15,0.067
5.857e-15,0.068
5.99902e-15,0.069
6.14175e-15,0.07
6.28559e-15,0.071
6.43013e-15,0.072
6.57495e-15,0.073
6.72037e-15,0.074
6.86732e-15,0.075
7.01541e-15,0.076
7.16483e-15,0.077
7.31534e-15,0.078
7.46668e-15,0.079
7.61877e-15,0.08
7.77284e-15,0.081
7.92786e-15,0.082
8.08337e-15,0.083
8.23937e-15,0.084
8.39611e-15,0.085
8.5532e-15,0.086
8.71066e-15,0.087
8.86798e-15,0.088
9.02594e-15,0.089
9.18399e-15,0.09
9.34239e-15,0.091
9.50225e-15,0.092
9.66341e-15,0.093
9.82605e-15,0.094
9.9891e-15,0.095
1.01524e-14,0.096
1.0316e-14,0.097
1.04801e-14,0.098
1.06455e-14,0.099
1.08117e-14,0.1
1.09781e-14,0.101
1.11448e-14,0.102
1.13122e-14,0.103
1.14801e-14,0.104
1.16493e-14,0.105
1.1819e-14,0.106
1.19884e-14,0.107
1.21583e-14,0.108
1.23288e-14,0.109
1.24991e-14,0.11
1.267e-14,0.111
1.28411e-14,0.112
1.30122e-14,0.113
1.31841e-14,0.114
1.3356e-14,0.115
1.35285e-14,0.116
1.37015e-14,0.117
1.38738e-14,0.118
1.40457e-14,0.119
1.4218e-14,0.12
1.43912e-14,0.121
1.45653e-14,0.122
1.47397e-14,0.123
1.49153e-14,0.124
1.50911e-14,0.125
1.52673e-14,0.126
1.54442e-14,0.127
1.56211e-14,0.128
1.57975e-14,0.129
1.59738e-14,0.13
1.61497e-14,0.131
1.63256e-14,0.132
1.65015e-14,0.133
1.6679e-14,0.134
1.68576e-14,0.135
1.70363e-14,0.136
1.72162e-14,0.137
1.73974e-14,0.138
1.7579e-14,0.139
1.7761e-14,0.14
1.79436e-14,0.141
1.81265e-14,0.142
1.83099e-14,0.143
1.84946e-14,0.144
1.86806e-14,0.145
1.88673e-14,0.146
1.90538e-14,0.147
1.92396e-14,0.148
1.94257e-14,0.149
1.96123e-14,0.15
1.97991e-14,0.151
1.99862e-14,0.152
2.0174e-14,0.153
2.03619e-14,0.154
2.05506e-14,0.155
2.07387e-14,0.156
2.09273e-14,0.157
2.11168e-14,0.158
2.13069e-14,0.159
2.14979e-14,0.16
2.16895e-14,0.161
2.18806e-14,0.162
2.2073e-14,0.163
2.22645e-14,0.164
2.24548e-14,0.165
2.26447e-14,0.166
2.28343e-14,0.167
2.30243e-14,0.168
2.32152e-14,0.169
2.34069e-14,0.17
2.35992e-14,0.171
2.37923e-14,0.172
2.39857e-14,0.173
2.41786e-14,0.174
2.43723e-14,0.175
2.45669e-14,0.176
2.47603e-14,0.177
2.49534e-14,0.178
